Brand,Name,Color,RAM,Storage,Battery(mAh),Camera,Price(in Rs),Original Price(in Rs),Discount,Rating
Samsung,Samsung Galaxy M06 5G,Blazing Black,4.0,64.0,5000.0, 64 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera,14369.0,14999.0,4.2,4.2
REDMI,REDMI Note 15 SE 5G Snapdragon,Frosted White,6.0,128.0,5800.0, Expandable Upto 1 TB17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP Rear Camera,25999.0,34999.0,25.72,4.3
realme,,,6.0,128.0,1000.0, 0MP Front Camera,988.0,1249.0,20.9,4.2
realme,,,6.0,128.0,1900.0, 0MP Front Camera,1579.0,1799.0,12.23,4.1
MOTOROLA,MOTOROLA Edge 70,PANTONE Gadget Gray,8.0,256.0,5000.0, 50MP Front Camera,34999.0,,,4.4
realme,realme P4R 5G,Titanium Glare,4.0,128.0,8000.0, 128 GB ROM17.27 cm (6.8 inch) HD+ Display50MP Rear Camera,19999.0,34999.0,42.86,4.2
POCO,POCO C85 5G,Mystic Purple,4.0,128.0,6000.0, Expandable Upto 1 TB17.53 cm (6.9 inch) HD+ Display50MP Rear Camera,16499.0,20999.0,21.43,3.8
realme,realme P4x 5G,Elegant Pink,8.0,128.0,7000.0, 8MP Front Camera,23499.0,,,4.3
MOTOROLA,MOTOROLA Edge 70 Fusion,Pantone SILHOUETTE,12.0,512.0,7000.0, 32MP Front Camera,37999.0,64999.0,41.54,4.3
realme,,,6.0,128.0,2700.0, 32 MB ROM6.1 cm (2.4 inch) Display0.3MP Rear Camera,1370.0,1999.0,31.47,3.9
Samsung,Samsung Galaxy A07 LTE,Light Violet,4.0,64.0,5000.0,,11990.0,12999.0,7.76,4.2
REDMI,REDMI Note-14 Pro 5G,Ivy Green,8.0,128.0,5500.0, 20MP Front Camera,24800.0,28999.0,14.48,4.3
realme,,,6.0,128.0,1750.0, 32 MB ROM6.1 cm (2.4 inch) Display0.08MP Rear Camera,1039.0,2099.0,50.5,3.6
MOTOROLA,MOTOROLA g37 power,PANTONE Nautical Blue,8.0,128.0,7000.0, Expandable Upto 1 TB16.92 cm (6.66 inch) HD+ Display50MP Rear Camera,22999.0,37999.0,39.47,4.1
MOTOROLA,MOTOROLA g37,PANTONE Impenetrable,4.0,64.0,5200.0, Expandable Upto 1 TB16.92 cm (6.66 inch) HD+ Display50MP Rear Camera,16999.0,24999.0,32.0,4.3
Ai+,Ai+ Pulse 2,Purple,4.0,128.0,6000.0, Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera,11999.0,15499.0,22.58,4.2
REDMI,REDMI Note 15 SE 5G Snapdragon,Carbon Black,6.0,128.0,5800.0, Expandable Upto 1 TB17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP Rear Camera,25999.0,34999.0,25.72,4.3
Ai+,Ai+ Pulse 2,Green,4.0,128.0,6000.0, Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera,11999.0,15499.0,22.58,4.2
IQOO,IQOO 15R 5G,Triumph Silver,8.0,256.0,7600.0, 256 GB ROM16.74 cm (6.59 inch) Display50MP Rear Camera,53990.0,53999.0,0.02,4.7
realme,realme Narzo 80 Lite,See Blue,4.0,64.0,6300.0, 64 GB ROM17.09 cm (6.73 inch) Display13MP Rear Camera,13475.0,16999.0,20.73,4.3
Vivo,Vivo T4 Lite 5G (Prism Blue 2026),,4.0,64.0,6000.0, 5MP Front Camera,16999.0,27999.0,39.29,4.3
Samsung,Samsung M47 5G,Blaze Blue,6.0,128.0,6000.0, 128 GB ROM16.94 cm (6.67 inch) Display50MP Rear Camera,26516.0,46999.0,43.58,4.3
Vivo,Vivo T4 Lite 5G (Titanium Gold 2026),,4.0,64.0,6000.0, 5MP Front Camera,16999.0,27999.0,39.29,4.3
realme,,,6.0,128.0,2700.0, 32 MB ROM6.1 cm (2.4 inch) Display0.3MP Rear Camera,1310.0,1999.0,34.47,3.9
MOTOROLA,MOTOROLA g37 power,PANTONE Impenetrable,4.0,128.0,7000.0, Expandable Upto 1 TB16.92 cm (6.66 inch) HD+ Display50MP Rear Camera,19999.0,30499.0,34.43,4.2
realme,,,6.0,128.0,800.0, 0MP Front Camera,979.0,1499.0,34.69,4.0
Samsung,Samsung Galaxy F70e 5G,Limelight Green,6.0,128.0,6000.0, 8MP Front Camera,20499.0,20999.0,2.38,4.2
REDMI,REDMI Note 15 SE 5G Snapdragon,Frosted White,8.0,128.0,5800.0, Expandable Upto 1 TB17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP Rear Camera,27999.0,35999.0,22.22,4.4
realme,,,6.0,128.0,1000.0, 32 MB ROM4.5 cm (1.77 inch) Display0.03MP Rear Camera,945.0,1899.0,50.24,3.8
realme,realme P4x 5G,Lake Green,6.0,128.0,7000.0, 8MP Front Camera,21999.0,38999.0,43.59,4.3
POCO,POCO M7 Plus 5G,Aqua Blue,8.0,128.0,7000.0, Expandable Upto 2 TB17.53 cm (6.9 inch) Full HD+ Display50MP AI Dual Camera,17999.0,,,4.2
Nothing,Nothing Phone (4b),4b) (Blue,8.0,128.0,6000.0, 16MP Front Camera,34999.0,54999.0,36.36,4.4
MOTOROLA,MOTOROLA Signature,PANTONE Martini Olive,16.0,512.0,5200.0, 50MP Front Camera,64999.0,79999.0,18.75,4.5
realme,,,6.0,128.0,2000.0, Expandable Upto 32 GB6.1 cm (2.4 inch) Display0.8MP Rear Camera,1423.0,1599.0,11.01,4.0
REDMI,REDMI Note 14 Pro 5G,Champagne Gold,8.0,256.0,5500.0, 20MP Front Camera,25919.0,30999.0,16.39,4.3
vivo,vivo T5 Lite 44W 5G,Wave Blue,6.0,256.0,6500.0, 5MP Front Camera,24999.0,42499.0,41.18,4.3
OnePlus,OnePlus N6 5G,Fresh Mint,6.0,128.0,8000.0, 128 GB ROM17.27 cm (6.8 inch) Display50MP Rear Camera,27431.0,33999.0,19.32,4.2
POCO,POCO M8 Power 5G,Black,6.0,128.0,8000.0, 128 GB ROM17.75 cm (6.99 inch) Full HD+ AMOLED Display50MP Rear Camera,24999.0,54999.0,54.55,4.0
OnePlus,OnePlus Nord CE6,Fresh Blue,8.0,128.0,8000.0, Expandable Upto 128 GB17.22 cm (6.78 inch) Full HD+ Display50MP Rear Camera,34990.0,40999.0,14.66,4.5
OnePlus,OnePlus Nord CE6,Pitch Black,8.0,256.0,8000.0, Expandable Upto 256 GB17.22 cm (6.78 inch) Full HD+ Display50MP Rear Camera,38866.0,43999.0,11.67,4.5
realme,,,6.0,128.0,800.0, 0MP Front Camera,1071.0,1499.0,28.55,4.0
realme,realme P4 Lite 5G,Mosaic Blue,6.0,128.0,7000.0, 128 GB ROM17.27 cm (6.8 inches) HD+ Display13MP Rear Camera,20999.0,36999.0,43.24,4.3
Ai+,Ai+ Nova 2 Neo 5G,Black,6.0,128.0,6000.0, Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display48MP Rear Camera,16999.0,19999.0,15.0,4.2
Samsung,Samsung Galaxy M17 5G,Sapphire Black,6.0,128.0,5000.0, 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera,19960.0,23999.0,16.83,4.4
Samsung,Samsung Galaxy A36 5G,Awesome Lavender,8.0,128.0,5000.0, 12MP Front Camera,28999.0,35999.0,19.44,4.3
MOTOROLA,MOTOROLA Edge 60 Fusion 5G,PANTONE Amazonite,12.0,256.0,5500.0, 32MP Front Camera,29999.0,37999.0,21.05,4.4
Samsung,Samsung Galaxy M17e,Blitz Blue,6.0,128.0,6000.0, Expandable Upto 128 GB17.02 cm (6.7 inch) Full HD+ Display50MP Rear Camera,17909.0,20999.0,14.71,4.1
realme,,,6.0,128.0,1750.0, Expandable Upto 32 GB4.5 cm (1.77 inch) Display0.3MP Front Camera,1231.0,1549.0,20.53,4.2
realme,,,6.0,128.0,1000.0, 0MP Front Camera,989.0,1249.0,20.82,4.2
vivo,vivo T5x 5G,Fusion Red,8.0,256.0,7200.0, 32MP Front Camera,30999.0,33999.0,8.82,4.4
vivo,vivo T5x 5G,Fusion Red,8.0,128.0,7200.0, 32MP Front Camera,27999.0,30999.0,9.68,4.4
POCO,POCO X7 5G,Cosmic Silver,8.0,256.0,5500.0, 20MP Front Camera,19999.0,27999.0,28.57,4.3
OnePlus,OnePlus Nord CE6,Fresh Blue,8.0,256.0,8000.0, Expandable Upto 256 GB17.22 cm (6.78 inch) Full HD+ Display50MP Rear Camera,38700.0,43999.0,12.04,4.5
realme,realme P4 Lite 5G,Mosaic Blue,4.0,64.0,7000.0, 64 GB ROM17.27 cm (6.8 inches) HD+ Display13MP Rear Camera,15999.0,28999.0,44.83,4.2
REDMI,REDMI A7 Pro 5G,Black,4.0,128.0,6300.0, Expandable Upto 128 GB17.53 cm (6.9 inch) Full HD+ Display32MP Rear Camera,15069.0,27999.0,46.18,4.0
REDMI,REDMI A7 Pro 5G,Black,4.0,64.0,6300.0, Expandable Upto 64 GB17.53 cm (6.9 inch) Full HD+ Display32MP Rear Camera,13705.0,15999.0,14.34,4.0
Samsung,Samsung Galaxy A07 LTE,Green,4.0,64.0,5000.0,,12108.0,12999.0,6.85,4.2
realme,,,6.0,128.0,1000.0, Expandable Upto 16 GB4.57 cm (1.8 inch) FWVGA Display0.3MP Rear Camera,549.0,999.0,45.05,3.4
realme,,,6.0,128.0,1100.0, 0MP Front Camera,578.0,999.0,42.14,3.5
HMD,HMD Vibe2 5G,Nordic Blue,4.0,64.0,6000.0, 64 GB ROM17.02 cm (6.7 inch) HD+ Display50MP Rear Camera,14999.0,17999.0,16.67,4.5
OnePlus,OnePlus Nord CE6,Lunar Pearl,8.0,128.0,8000.0, Expandable Upto 128 GB17.22 cm (6.78 inch) Full HD+ Display50MP Rear Camera,35429.0,40999.0,13.59,4.5
LAVA,LAVA Virat V1,Nilgiri Blue,4.0,64.0,5000.0, 64 GB ROM17.14 cm (6.75 inch) Display13MP Rear Camera,9999.0,12999.0,23.08,4.2
